ActorAppear,ActorIndicator,Coef,Variable
2,1,-0.0316794707746,Bill Hader
2,1,0.107075375549,Bill Murray
1,1,0.0212340419328,Bill Nighy
2,1,-0.0164476384172,Bill Pullman
1,1,0.109979999939,Bill Weeden
1,1,0.0100345857578,Billy Crystal
1,1,0.047813532514,Birdie M. Hale
1,1,0.0542025098407,Blake Benitez
1,1,0.024088912828,Blake Clark
1,1,0.0134517963822,Blake Shields
1,1,0.0279367716832,Blanche Baker
3,1,-0.0268485647292,Blythe Danner
2,1,0.0627794037956,Bob Balaban
1,1,0.000925859094592,Bob Dishy
1,1,0.0542025098407,Bob Wiltfong
1,1,-0.0179364542671,Bonnie Hunt
1,1,0.0103580009594,Bonnie Somerville
1,1,0.0358704508862,Brad Garrett
6,1,0.0603894490202,Bradley Cooper
1,1,-0.0654124719005,Bradley Pickren
1,1,0.192473994846,Bradley Whitford
1,1,-0.025959502123,Brecken Palmer
2,1,0.000908694858318,Breckin Meyer
2,1,-0.0349670327329,Bree Turner
1,1,-0.0223014691663,Brendan Penny
1,1,0.0134517963822,Brendon Ryan Barrett
1,1,-0.172367228619,Brent Spiner
1,1,-0.0257073127359,Brett Cullen
1,1,-0.0465404045274,Brian Dennehy
1,1,0.0314089933496,Brian Doyle-Murray
1,1,-0.031308141202,Brian George
1,1,-0.0223231745057,Brian Hooks
1,1,-0.0129500324164,Brian Kerwin
1,1,-0.0175808978571,Brian Kolodziej
1,1,0.0240182133801,Brian Price
1,1,0.0109366130341,Brian White
1,1,-0.025959502123,Bridger Palmer
1,1,-0.182101129094,Bridget Brown
1,1,0.0485591539921,Bridget Moynahan
1,1,-0.0524188297599,Bridgette Wilson-Sampras
1,1,0.0438122486131,Brie Larson
1,1,-0.0129500324164,Brigitte Bourdeau
1,1,0.023680374007,Briony Glassco
4,1,-0.0862638068654,Brittany Murphy
2,1,-0.00745077568904,Brittany Snow
1,1,0.0145759162848,Brooke Clagett
1,1,0.0276925736014,Brooke Smith
1,1,0.0358704508862,Brooke Tansley
2,1,-0.0136722251659,Brooklyn Decker
1,1,-0.0465404045274,Bruce Davison
1,1,0.0396227128465,Bruce McGill
2,1,-0.00501063652522,Bruce Willis
1,1,0.0100345857578,Bruno Kirby
1,1,-0.0920723307973,Bryan Anthony
1,1,0.000925859094592,Bryan Brown
3,1,-0.0549436155794,Bryan Greenberg
1,1,0.0145759162848,Brynn Clagett
1,1,-0.0128869784043,Brían F. O'Byrne
1,1,0.00999267295568,Busy Philipps
1,1,0.0129872424325,C. Gerod Harris
1,1,0.093452103704,Callan McAuliffe
1,1,0.0164490133489,Cam Gigandet
7,1,0.0647331618948,Cameron Diaz
1,1,0.010927691679,Cameron Dye
1,1,0.0276925736014,Candice Azzara
4,1,-0.213335983846,Candice Bergen
1,1,-0.00761555501657,Carey Lowell
1,1,0.0574495053697,Carla Bruni
1,1,0.0279367716832,Carlin Glynn
2,1,-0.0503037763375,Carlos Mencia
1,1,-0.0453250336923,Carlos Ponce
1,1,-0.00597282366451,Carly Hatter
1,1,-0.278561742851,Carmen Electra
2,1,0.168981599847,Caroline Aaron
1,1,-0.009946213651,Caroline Rhea
1,1,0.0100345857578,Carrie Fisher
1,1,-0.0226693315941,Carrie Preston
1,1,-0.009946213651,Carson Kressley
3,1,0.00582550205453,Cary Elwes
1,1,-0.0284078257778,Casey Wilson
1,1,0.0273339918614,Catherine Dent
1,1,0.00875183152264,Catherine Keener
2,1,-0.0016995852888,Catherine O'Hara
1,1,0.0417387856694,Catherine Shu
4,1,0.0720364057496,Catherine Zeta-Jones
1,1,-0.0396131181276,Celia Imrie
1,1,-0.036148986432,Chace Crawford
1,1,-0.00339388343935,Chad Michael Murray
2,1,0.0135787346531,Channing Tatum
1,1,0.0406992996492,Channon Roe
1,1,0.00647871179265,Charles Durning
1,1,-0.0524188297599,Charles Kimbrough
2,1,0.0701028738424,Charles Walker
1,1,-0.0129500324164,Charli Barcena
1,1,0.0561879165825,Charlie Day
1,1,0.0406992996492,Charlie Korsmo
1,1,-0.00694401008564,Charlie Murphy
1,1,-5.23835887149e-05,Charlotte Coleman
1,1,-0.00821301519122,Charlotte Marshall-Fricker
1,1,0.192473994846,Charlotte Ray Rosenberg
1,1,-0.00250296512245,Charlyne Yi
1,1,-0.0396131181276,Charmian May
1,1,-0.0920723307973,Chelsea Bond
1,1,0.0103105561398,Chelsea Handler
2,1,0.0624525734314,Cheryl Hines
1,1,-0.0228355564874,Chihiro Fujii
1,1,-0.0219629885928,China Chow
1,1,0.0285171953241,Chloë Grace Moretz
1,1,-0.000148056469787,Chris Carmack
1,1,-0.0857639409109,Chris Eigeman
2,1,0.0163564165218,Chris Elliott
1,1,-0.0153995816955,Chris Evans
2,1,0.0202899323999,Chris Klein
2,1,-0.00201342052646,Chris Marquette
1,1,0.00999267295568,Chris Messina
2,1,-0.145102968316,Chris Noth
2,1,-0.0350144775525,Chris Pine
4,1,0.0272643160254,Chris Pratt
1,1,0.0343072672645,Chris Rehmann
1,1,-0.036148986432,Chris Rock
1,1,0.0419202454156,Chris Sarandon
1,1,0.0206051638456,Chris Tucker
1,1,-0.0331836277737,Christa B. Allen
2,1,-0.00841815043898,Christian Kane
2,1,-0.0358844142148,Christina Applegate
1,1,-0.0260771789222,Christina Cole
1,1,-0.0237734495563,Christina Eleusiniotis
1,1,0.0145759162848,Christina Hendricks
1,1,-0.00291491725057,Christina Pickles
1,1,0.0267082404889,Christina Ricci
1,1,-0.0697007302819,Christine Baranski
1,1,-0.0521402423744,Christine Chatelain
2,1,-0.0196528640237,Christine Taylor
1,1,0.0419202454156,Christopher Guest
1,1,-0.0226693315941,Christopher Masterson
3,1,-0.0223045694845,Christopher McDonald
1,1,0.00253355508673,Christopher Walken
1,1,0.0109366130341,Claire Danes
1,1,0.0134517963822,Claire Forlani
2,1,0.0560870126953,Clark Gregg
1,1,0.0213344352415,Clifford LeDuc-Vaillancourt
1,1,-0.0466976137119,Cole Hauser
1,1,-0.0248226295023,Colin Davis
1,1,-0.0109512691031,Colin Egglesfield
1,1,-0.0344089800228,Colin Ferguson
4,1,-0.0692788846193,Colin Firth
