ActorAppear,ActorIndicator,Coef,Variable
2,1,-0.0335943719271,Bill Hader
2,1,0.121050427395,Bill Murray
1,1,0.0206317818518,Bill Nighy
2,1,-0.0223172899072,Bill Pullman
1,1,0.0891242991296,Bill Weeden
1,1,-0.00143754847452,Billy Crystal
1,1,0.0380185755956,Birdie M. Hale
1,1,0.0439481473949,Blake Benitez
1,1,0.0184385313067,Blake Clark
1,1,0.0182017950604,Blake Shields
1,1,0.0198835926634,Blanche Baker
3,1,0.00669548613432,Blythe Danner
2,1,0.0595856044727,Bob Balaban
1,1,-0.0199952641293,Bob Dishy
1,1,0.0439481473949,Bob Wiltfong
1,1,-0.00216222165775,Bonnie Hunt
1,1,0.0124814551456,Bonnie Somerville
1,1,0.0236848741385,Brad Garrett
6,1,0.0413208715307,Bradley Cooper
1,1,-0.0482922224084,Bradley Pickren
1,1,0.183658074599,Bradley Whitford
1,1,-0.0137416490363,Brecken Palmer
2,1,0.0265834278978,Breckin Meyer
2,1,-0.0365152583357,Bree Turner
1,1,-0.0238525278392,Brendan Penny
1,1,0.0182017950604,Brendon Ryan Barrett
1,1,-0.14903411215,Brent Spiner
1,1,-0.0153471036243,Brett Cullen
1,1,-0.0342300186721,Brian Dennehy
1,1,0.0344820887671,Brian Doyle-Murray
1,1,-0.0340336239154,Brian George
1,1,-0.0157187015676,Brian Hooks
1,1,-0.0159701166514,Brian Kerwin
1,1,-0.0154105473387,Brian Kolodziej
1,1,0.0307607450554,Brian Price
1,1,0.00248617630959,Brian White
1,1,-0.0137416490363,Bridger Palmer
1,1,-0.144797470027,Bridget Brown
1,1,0.0550516634116,Bridget Moynahan
1,1,-0.0392627318643,Bridgette Wilson-Sampras
1,1,0.0196516284218,Brie Larson
1,1,-0.0159701166514,Brigitte Bourdeau
1,1,0.0126230206501,Briony Glassco
4,1,-0.0659929929425,Brittany Murphy
2,1,0.0234243062171,Brittany Snow
1,1,0.0233263441499,Brooke Clagett
1,1,0.00763887092242,Brooke Smith
1,1,0.0236848741385,Brooke Tansley
2,1,0.0378449876286,Brooklyn Decker
1,1,-0.0342300186721,Bruce Davison
1,1,0.0291828098737,Bruce McGill
2,1,0.0163104996719,Bruce Willis
1,1,-0.00143754847452,Bruno Kirby
1,1,-0.0769308419088,Bryan Anthony
1,1,-0.0199952641293,Bryan Brown
3,1,-0.0539427132133,Bryan Greenberg
1,1,0.0233263441499,Brynn Clagett
1,1,-0.0269827341554,Brían F. O'Byrne
1,1,0.0106601042961,Busy Philipps
1,1,0.0244747505929,C. Gerod Harris
1,1,0.10384477428,Callan McAuliffe
1,1,0.0187698623979,Cam Gigandet
7,1,-0.0365163353921,Cameron Diaz
1,1,0.0257862569418,Cameron Dye
1,1,0.00763887092242,Candice Azzara
4,1,-0.14923486767,Candice Bergen
1,1,-0.0153558481833,Carey Lowell
1,1,0.0536559058409,Carla Bruni
1,1,0.0198835926634,Carlin Glynn
2,1,-0.026938423648,Carlos Mencia
1,1,-0.0489967134813,Carlos Ponce
1,1,0.0077262569809,Carly Hatter
1,1,-0.270547557084,Carmen Electra
2,1,0.148299558089,Caroline Aaron
1,1,-0.0157542822287,Caroline Rhea
1,1,-0.00143754847452,Carrie Fisher
1,1,-0.00928925997182,Carrie Preston
1,1,-0.0157542822287,Carson Kressley
3,1,-2.10875602145e-06,Cary Elwes
1,1,-0.0153001925841,Casey Wilson
1,1,0.0317419993611,Catherine Dent
1,1,-0.00350472458978,Catherine Keener
2,1,0.00337458546826,Catherine O'Hara
1,1,0.0316624391178,Catherine Shu
4,1,0.0534872156323,Catherine Zeta-Jones
1,1,-0.0243477770862,Celia Imrie
1,1,-0.0254928070234,Chace Crawford
1,1,0.00724447270573,Chad Michael Murray
2,1,0.0132694468815,Channing Tatum
1,1,0.0376468346431,Channon Roe
1,1,0.00613600082612,Charles Durning
1,1,-0.0392627318643,Charles Kimbrough
2,1,0.0585926410991,Charles Walker
1,1,-0.0159701166514,Charli Barcena
1,1,0.0457377198744,Charlie Day
1,1,0.0376468346431,Charlie Korsmo
1,1,-0.00189106286436,Charlie Murphy
1,1,-0.0272550317623,Charlotte Coleman
1,1,0.00737082480384,Charlotte Marshall-Fricker
1,1,0.183658074599,Charlotte Ray Rosenberg
1,1,-0.0104565540705,Charlyne Yi
1,1,-0.0243477770862,Charmian May
1,1,-0.0769308419088,Chelsea Bond
1,1,0.0209354909123,Chelsea Handler
2,1,0.0550795137641,Cheryl Hines
1,1,-0.0267806751092,Chihiro Fujii
1,1,-0.0270489040729,China Chow
1,1,0.0257491797483,Chloë Grace Moretz
1,1,-0.00837369804593,Chris Carmack
1,1,-0.0774084249837,Chris Eigeman
2,1,0.0218091479828,Chris Elliott
1,1,-0.016237442103,Chris Evans
2,1,0.00675557350209,Chris Klein
2,1,-0.000766751592867,Chris Marquette
1,1,0.0106601042961,Chris Messina
2,1,-0.114293767747,Chris Noth
2,1,-0.028061222569,Chris Pine
4,1,0.0199507867848,Chris Pratt
1,1,0.0293767018754,Chris Rehmann
1,1,-0.0254928070234,Chris Rock
1,1,0.0378614516064,Chris Sarandon
1,1,0.0206700073005,Chris Tucker
1,1,-0.0222186294281,Christa B. Allen
2,1,-0.0294368537233,Christian Kane
2,1,-0.0311931220343,Christina Applegate
1,1,-0.0410065575762,Christina Cole
1,1,-0.0172929319629,Christina Eleusiniotis
1,1,0.0233263441499,Christina Hendricks
1,1,-0.00141868609868,Christina Pickles
1,1,0.0186747780523,Christina Ricci
1,1,-0.0629200681675,Christine Baranski
1,1,-0.0645673520777,Christine Chatelain
2,1,-0.0236430240865,Christine Taylor
1,1,0.0378614516064,Christopher Guest
1,1,-0.00928925997182,Christopher Masterson
3,1,-0.0195135661601,Christopher McDonald
1,1,0.01419870992,Christopher Walken
1,1,0.00248617630959,Claire Danes
1,1,0.0182017950604,Claire Forlani
2,1,0.0496872329489,Clark Gregg
1,1,0.0299364238076,Clifford LeDuc-Vaillancourt
1,1,-0.0579332732714,Cole Hauser
1,1,-0.00773654918214,Colin Davis
1,1,-0.0133023819119,Colin Egglesfield
1,1,-0.00736361074255,Colin Ferguson
4,1,-0.0524591019928,Colin Firth
3,1,-0.00398611647896,Colin Hanks
2,1,0.0424908353889,Common
1,1,0.0299364238076,Cory Hardrict
1,1,-0.0153471036243,Cory Monteith
1,1,-0.00999687898831,Courtney Gains
2,1,0.00283733284889,Craig T. Nelson
1,1,-0.0460026371187,Cress Williams
1,1,0.0305988009463,Crystal Hunt
1,1,-0.00216222165775,Cuba Gooding Jr.
2,1,0.0851185890808,Cynthia Nixon
1,1,0.00928982552267,Da'Vone McDonald
1,1,-0.0280035511105,Dabney Coleman
1,1,0.0287178217254,Damon Wayans
1,1,0.0184385313067,Dan Aykroyd
2,1,0.0260143351036,Dan Byrd
1,1,0.012104515617,Dan Fogler
1,1,0.0462486361066,Dan Hedaya
1,1,0.0236848741385,Dan McMillan
1,1,0.0190972791454,Dan Warry-Smith
1,1,0.0891242991296,Dan'l Linehan
1,1,0.0227250602098,Dana DeVestern
1,1,0.0439481473949,Dana Eskelson
1,1,0.00691803463533,Dana Ivey
2,1,-0.0208181022271,Dane Cook
1,1,0.0412503745132,Daniel Clark
1,1,0.0299364238076,Daniel Rindress-Kay
1,1,0.038179291313,Daniel Scott Lumpkin Jr.
1,1,0.0236848741385,Daniel Stewart Sherman
2,1,-0.0216510627468,Daniel Sunjata
1,1,-0.0159701166514,Danielle Skraastad
1,1,-0.0241187161676,Danneel Ackles
1,1,0.00750434605092,Danny DeVito
1,1,-0.0489967134813,Danny Jones
1,1,0.0601639833163,Danny Masterson
1,1,-0.0250473607836,Danny McBride
1,1,0.0305988009463,Danny Strong
1,1,-0.0340336239154,Danny Woodburn
1,1,0.0425980586185,Darby Stanchfield
1,1,0.0156079945088,Dario Conti
1,1,0.0287178217254,Daryl Hannah
1,1,0.017441627635,Daryl Mitchell
1,1,-0.0280035511105,Dave Chappelle
1,1,0.0299364238076,Dave Franco
1,1,0.0633377946521,Dave Matthews
1,1,-0.0555101105961,David Agranov
1,1,-0.0460026371187,David Arquette
1,1,0.0891242991296,David Bailey
1,1,-0.0272550317623,David Bower
1,1,-0.00143754847452,David Burdick
2,1,0.00869157362482,David Cross
1,1,-0.0985394855182,David Eigenberg
1,1,0.00691803463533,David Haig
1,1,0.0171721510624,David Koechner
1,1,0.017441627635,David Krumholtz
1,1,0.0415971331358,David Leo Schultz
1,1,-0.00198585453798,David Marshall Grant
1,1,-0.0555101105961,David Moscow
2,1,0.0190806615628,David Paymer
1,1,-0.0555101105961,David Rasche
1,1,-0.0157187015676,David Roberts
1,1,0.0182017950604,David Smigelski
1,1,0.0550516634116,David Sparrow
1,1,0.00212313590727,David Younger
3,1,-0.0188030208835,Dax Shepard
1,1,0.0196516284218,Dayo Okeniyi
1,1,-0.0222243379878,DeRay Davis
1,1,-0.0137416490363,Dean Collins
1,1,0.0261894432636,Dean Winters
1,1,0.0257862569418,Deborah Foreman
1,1,-0.040865820749,Deborah Theaker
1,1,-0.00184500176497,Debra Jo Rupp
2,1,0.00447948646356,Debra Messing
1,1,0.0082316363786,Deirdre O'Connell
1,1,-0.023239189706,Delta Burke
1,1,0.012104515617,Demetri Martin
1,1,0.000351156539304,Denis O'Hare
1,1,0.0082316363786,Dennis Farina
4,1,-0.00459942287797,Dennis Quaid
3,1,0.0176716669307,Dermot Mulroney
1,1,-0.00189106286436,Diana Maria Riva
1,1,0.0171721510624,Diana Scarwid
3,1,-0.00474955078887,Diane Keaton
1,1,0.0591752589591,Dina Spybey-Waters
1,1,0.0132155216882,Diora Baird
1,1,0.0214507156878,Dominique McElligott
1,1,0.0591752589591,Donal Logue
1,1,0.0462486361066,Donald Faison
1,1,-0.0157187015676,Donald Sutherland
